"Package","Version"
"askpass","1.2.1"
"backports","1.5.0"
"base64enc","0.1-3"
"bdsmatrix","1.3-7"
"bit","4.5.0.1"
"bit64","4.6.0-1"
"blob","1.2.4"
"brew","1.0-10"
"broom","1.0.7"
"bslib","0.9.0"
"cachem","1.1.0"
"callr","3.7.6"
"cellranger","1.1.0"
"clarkeTest","0.2.0"
"cli","3.6.3"
"clipr","0.8.0"
"codetools","0.2-20"
"collapse","2.0.19"
"collections","0.3.7"
"colorspace","2.1-1"
"commonmark","1.9.2"
"conflicted","1.2.0"
"countrycode","1.6.0"
"cpp11","0.5.1"
"crayon","1.5.3"
"curl","6.2.0"
"cyclocomp","1.1.1"
"data.table","1.17.0"
"DBI","1.2.3"
"dbplyr","2.5.0"
"desc","1.4.3"
"digest","0.6.37"
"dplyr","1.1.4"
"dreamerr","1.4.0"
"dtplyr","1.3.1"
"evaluate","1.0.3"
"extrafont","0.19"
"extrafontdb","1.0"
"fansi","1.0.6"
"farver","2.1.2"
"fastmap","1.2.0"
"filehash","2.4-6"
"fixest","0.12.1"
"fontawesome","0.5.3"
"forcats","1.0.0"
"Formula","1.2-5"
"fs","1.6.5"
"furrr","0.3.1"
"future","1.34.0"
"future.apply","1.11.3"
"gargle","1.5.2"
"generics","0.1.3"
"GGally","2.2.1"
"ggplot2","3.5.1"
"ggstats","0.8.0"
"globals","0.16.3"
"glue","1.8.0"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"grateful","0.2.10"
"gridExtra","2.3"
"gtable","0.3.6"
"haven","2.5.4"
"here","1.0.1"
"highr","0.11"
"hms","1.1.3"
"htmltools","0.5.8.1"
"httr","1.4.7"
"ids","1.0.1"
"isoband","0.2.7"
"jquerylib","0.1.4"
"jsonlite","1.8.9"
"kableExtra","1.4.0"
"knitr","1.49"
"labeling","0.4.3"
"languageserver","0.3.16"
"lazyeval","0.2.2"
"lifecycle","1.0.4"
"lintr","3.1.2"
"listenv","0.9.1"
"lmtest","0.9-40"
"lubridate","1.9.4"
"magrittr","2.0.3"
"maxLik","1.5-2.1"
"memoise","2.0.1"
"mime","0.12"
"miscTools","0.6-28"
"modelr","0.1.11"
"munsell","0.5.1"
"numDeriv","2016.8-1.1"
"openssl","2.3.2"
"parallelly","1.42.0"
"patchwork","1.3.0"
"pillar","1.10.1"
"pkgbuild","1.4.6"
"pkgconfig","2.0.3"
"pkgload","1.4.0"
"plm","2.6-5"
"plyr","1.8.9"
"png","0.1-8"
"prettyunits","1.2.0"
"processx","3.8.5"
"progress","1.2.3"
"ps","1.8.1"
"purrr","1.0.4"
"R.cache","0.16.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.0"
"R.utils","2.12.3"
"R2pgf","0.1.0"
"R6","2.5.1"
"ragg","1.3.3"
"rappdirs","0.3.3"
"rbibutils","2.3"
"RColorBrewer","1.1-3"
"Rcpp","1.0.14"
"Rdpack","2.6.2"
"readr","2.1.5"
"readxl","1.4.3"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"renv","1.1.0"
"reprex","2.1.1"
"rex","1.2.1"
"rlang","1.1.5"
"rmarkdown","2.29"
"roxygen2","7.3.2"
"rprojroot","2.0.4"
"rstudioapi","0.17.1"
"Rttf2pt1","1.3.12"
"rvest","1.0.4"
"sandwich","3.1-1"
"sass","0.4.9"
"scales","1.3.0"
"selectr","0.4-2"
"showtext","0.9-7"
"showtextdb","3.0"
"stargazer","5.2.3"
"stringi","1.8.4"
"stringmagic","1.1.2"
"stringr","1.5.1"
"styler","1.10.3"
"svglite","2.1.3"
"sys","3.4.3"
"sysfonts","0.8.9"
"systemfonts","1.2.1"
"textshaping","1.0.0"
"tibble","3.2.1"
"tictoc","1.2.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"tikzDevice","0.12.6"
"timechange","0.3.0"
"tinytex","0.54"
"tzdb","0.4.0"
"utf8","1.2.4"
"uuid","1.2-1"
"vctrs","0.6.5"
"viridisLite","0.4.2"
"vroom","1.6.5"
"WDI","2.7.8.9000"
"withr","3.0.2"
"xfun","0.50"
"xml2","1.3.6"
"xmlparsedata","1.0.5"
"xtable","1.8-4"
"yaml","2.3.10"
"zoo","1.8-12"
"base","4.4.3"
"boot","1.3-31"
"class","7.3-23"
"cluster","2.1.8"
"codetools","0.2-20"
"compiler","4.4.3"
"datasets","4.4.3"
"foreign","0.8-88"
"graphics","4.4.3"
"grDevices","4.4.3"
"grid","4.4.3"
"KernSmooth","2.23-26"
"lattice","0.22-6"
"MASS","7.3-64"
"Matrix","1.7-2"
"methods","4.4.3"
"mgcv","1.9-1"
"nlme","3.1-167"
"nnet","7.3-20"
"parallel","4.4.3"
"rpart","4.1.24"
"spatial","7.3-18"
"splines","4.4.3"
"stats","4.4.3"
"stats4","4.4.3"
"survival","3.8-3"
"tcltk","4.4.3"
"tools","4.4.3"
"utils","4.4.3"
